time_s,heading_deg,groundspeed_kt,el_ft_msl,alt_ft_msl,alt_ft_agl,altRate_fps,lat_deg,lon_deg,AirspaceClass,AirspaceName
0.000,90.004,0.000,16.000,16.000,0.000,16.000,41.7119433965187483,-70.2703295787815705,O,
15.625,90.004,50.000,16.000,266.000,250.000,0.000,41.7119433965187483,-70.2703295787815705,O,
16.067,90.004,50.000,15.000,266.000,251.000,0.000,41.7119433901002381,-70.2701925221689834,O,
16.510,90.004,50.000,14.000,266.000,252.000,0.000,41.7119433836817208,-70.2700554655563820,O,
16.738,90.004,50.000,13.000,266.000,253.000,0.000,41.7119433803732065,-70.2699848176791022,O,
17.279,209.911,50.000,13.000,266.000,253.000,0.000,41.7118348205456257,-70.2700684793724406,O,
17.820,209.911,50.000,12.000,266.000,254.000,0.000,41.7117262607180521,-70.2701521410657790,O,
17.853,209.911,50.000,12.000,266.000,254.000,0.000,41.7117196743036729,-70.2701572168897997,O,
18.395,330.096,50.000,14.000,266.000,252.000,0.000,41.7118282456418683,-70.2702408636447871,O,
18.936,330.096,50.000,16.000,266.000,250.000,0.000,41.7119368169800637,-70.2703245103997602,O,
19.478,330.096,50.000,15.000,266.000,251.000,0.000,41.7120453883182591,-70.2704081571547476,O,
20.019,330.096,50.000,16.000,266.000,250.000,0.000,41.7121539596564475,-70.2704918039097208,O,
20.085,330.096,50.000,16.000,266.000,250.000,0.000,41.7121671184666098,-70.2705019418686732,O,
20.527,90.003,50.000,16.000,266.000,250.000,0.000,41.7121671122536526,-70.2703648852560718,O,
20.969,90.003,50.000,16.000,266.000,250.000,0.000,41.7121671060406953,-70.2702278286434705,O,
21.197,90.003,50.000,16.000,266.000,250.000,0.000,41.7121671028380803,-70.2701571795706457,O,
21.739,209.911,50.000,16.000,266.000,250.000,0.000,41.7120585428009676,-70.2702408409921020,O,
22.280,209.911,50.000,16.000,266.000,250.000,0.000,41.7119499827638620,-70.2703245024135441,O,
22.821,209.911,50.000,13.000,266.000,253.000,0.000,41.7118414227267493,-70.2704081638350004,O,
23.363,209.911,50.000,11.000,266.000,255.000,0.000,41.7117328626896438,-70.2704918252564426,O,
23.428,209.911,50.000,11.000,266.000,255.000,0.000,41.7117196899319538,-70.2705019767971208,O,
23.970,330.095,50.000,11.000,266.000,255.000,0.000,41.7118282610605675,-70.2705856238241324,O,
24.511,330.095,50.000,12.000,266.000,254.000,0.000,41.7119368321891812,-70.2706692708511440,O,
24.544,330.096,50.000,12.000,266.000,254.000,0.000,41.7119434116300098,-70.2706743398844225,O,
24.986,90.003,50.000,13.000,266.000,253.000,0.000,41.7119434056226694,-70.2705372832718069,O,
25.429,90.003,50.000,15.000,266.000,251.000,0.000,41.7119433996153219,-70.2704002266592056,O,
26.113,46.699,50.000,16.000,266.000,250.000,0.000,41.7120519563914414,-70.2702459171467666,O,
26.654,29.911,50.000,16.000,266.000,250.000,0.000,41.7121605162641345,-70.2701622555119769,O,
27.180,147.000,50.000,15.000,266.000,251.000,0.000,41.7120585312903032,-70.2700735330876967,O,
27.722,150.096,50.000,13.000,266.000,253.000,0.000,41.7119499597425261,-70.2699898866047477,O,
28.148,266.183,50.000,15.000,266.000,251.000,0.000,41.7119433865861353,-70.2701218742917035,O,
28.591,270.003,50.000,16.000,266.000,250.000,0.000,41.7119433927990642,-70.2702589309043049,O,
29.033,270.003,50.000,15.000,266.000,251.000,0.000,41.7119433990119930,-70.2703959875169062,O,
29.475,270.003,50.000,13.000,266.000,253.000,0.000,41.7119434052249147,-70.2705330441295075,O,
29.918,270.003,50.000,12.000,266.000,254.000,0.000,41.7119434114378436,-70.2706701007421088,O,
30.452,28.640,50.000,14.000,266.000,252.000,0.000,41.7120519718766616,-70.2705906787348766,O,
30.994,29.911,50.000,16.000,266.000,250.000,0.000,41.7121605321233062,-70.2705070175853308,O,
31.519,146.999,50.000,15.000,266.000,251.000,0.000,41.7120585471284144,-70.2704182951136858,O,
32.061,150.096,50.000,16.000,266.000,250.000,0.000,41.7119499757902190,-70.2703346483587126,O,
32.602,150.096,50.000,14.000,266.000,252.000,0.000,41.7118414044520236,-70.2702510016037252,O,
33.144,150.096,50.000,12.000,266.000,254.000,0.000,41.7117328331138353,-70.2701673548487520,O,
33.557,262.097,50.000,11.000,266.000,255.000,0.000,41.7117196805165733,-70.2702942735024010,O,
33.999,270.003,50.000,11.000,266.000,255.000,0.000,41.7117196867294737,-70.2704313301150023,O,
34.471,5.114,50.000,13.000,266.000,253.000,0.000,41.7118282501334789,-70.2704183155890263,O,
35.012,29.911,50.000,16.000,266.000,250.000,-16.000,41.7119368103350112,-70.2703346543809175,O,
50.637,29.911,0.000,16.000,16.000,0.000,0.000,41.7119368103350112,-70.2703346543809175,O,
