time_s,heading_deg,groundspeed_kt,el_ft_msl,alt_ft_msl,alt_ft_agl,altRate_fps,lat_deg,lon_deg,AirspaceClass,AirspaceName
0.000,90.001,0.000,78.000,78.000,0.000,16.000,42.1993438806838554,-71.0001291702872095,O,
15.625,90.001,50.000,78.000,328.000,250.000,0.000,42.1993438806838554,-71.0001291702872095,O,
16.064,90.001,50.000,75.000,328.000,253.000,0.000,42.1993438783565935,-70.9999921136744803,O,
16.503,90.001,50.000,74.000,328.000,254.000,0.000,42.1993438760293387,-70.9998550570617653,O,
16.632,90.001,50.000,74.000,328.000,254.000,0.000,42.1993438753435868,-70.9998146720281227,O,
17.172,209.911,50.000,79.000,328.000,249.000,0.000,42.1992356244902282,-70.9998987331240130,O,
17.642,209.911,50.000,85.000,328.000,243.000,0.000,42.1991413675658009,-70.9999719273771461,O,
18.182,330.092,50.000,81.000,328.000,247.000,0.000,42.1992496225615952,-71.0000559831382958,O,
18.722,330.092,50.000,78.000,328.000,250.000,0.000,42.1993578775573894,-71.0001400388994313,O,
19.262,330.092,50.000,77.000,328.000,251.000,0.000,42.1994661325531908,-71.0002240946605809,O,
19.662,330.092,50.000,79.000,328.000,249.000,0.000,42.1995463935791690,-71.0002864142013976,O,
20.101,90.001,50.000,75.000,328.000,253.000,0.000,42.1995463914397817,-71.0001493575886684,O,
20.540,90.001,50.000,70.000,328.000,258.000,0.000,42.1995463893003944,-71.0000123009759534,O,
20.669,90.001,50.000,70.000,328.000,258.000,0.000,42.1995463886699866,-70.9999719149381008,O,
21.209,209.910,50.000,71.000,328.000,257.000,0.000,42.1994381376223302,-71.0000559757837948,O,
21.749,209.910,50.000,79.000,328.000,249.000,0.000,42.1993298865746809,-71.0001400366294888,O,
22.289,209.910,50.000,86.000,328.000,242.000,0.000,42.1992216355270244,-71.0002240974751686,O,
22.689,209.910,50.000,89.000,328.000,239.000,0.000,42.1991413724749336,-71.0002864246321224,O,
23.229,330.092,50.000,85.000,328.000,243.000,0.000,42.1992496272764228,-71.0003704806435110,O,
23.699,330.092,50.000,83.000,328.000,245.000,0.000,42.1993438851619160,-71.0004436685463816,O,
24.138,90.001,50.000,82.000,328.000,246.000,0.000,42.1993438832104033,-71.0003066119336523,O,
24.577,90.001,50.000,79.000,328.000,249.000,0.000,42.1993438812588906,-71.0001695553209231,O,
25.192,40.419,50.000,71.000,328.000,257.000,0.000,42.1994521315790934,-71.0000451092452352,O,
25.699,96.852,50.000,70.000,328.000,258.000,0.000,42.1994381334798803,-70.9998878594272043,O,
26.155,206.656,50.000,75.000,328.000,253.000,0.000,42.1993438774829741,-70.9999517286408519,O,
26.594,270.001,50.000,77.000,328.000,251.000,0.000,42.1993438796223614,-71.0000887852535669,O,
27.032,270.001,50.000,81.000,328.000,247.000,0.000,42.1993438817617488,-71.0002258418662962,O,
27.471,270.001,50.000,83.000,328.000,245.000,0.000,42.1993438839011361,-71.0003628984790254,O,
27.939,1.290,50.000,80.000,328.000,248.000,0.000,42.1994521364038633,-71.0003596079508981,O,
28.447,96.852,50.000,76.000,328.000,252.000,0.000,42.1994381385833748,-71.0002023584402480,O,
28.987,150.092,50.000,79.000,328.000,249.000,0.000,42.1993298835875805,-71.0001183026791125,O,
29.526,150.092,50.000,83.000,328.000,245.000,0.000,42.1992216285917792,-71.0000342469179628,O,
29.948,214.600,50.000,87.000,328.000,241.000,0.000,42.1991413697051811,-71.0001089839898754,O,
30.387,270.001,50.000,89.000,328.000,239.000,0.000,42.1991413718445614,-71.0002460406025904,O,
30.875,16.641,50.000,84.000,328.000,244.000,-16.000,42.1992496236750014,-71.0002023639827087,O,
46.125,16.641,0.000,84.000,84.000,0.000,0.000,42.1992496236750014,-71.0002023639827087,O,
