time_s,heading_deg,groundspeed_kt,el_ft_msl,alt_ft_msl,alt_ft_agl,altRate_fps,lat_deg,lon_deg,AirspaceClass,AirspaceName
0.000,180.002,0.000,55.000,55.000,0.000,16.000,42.8014028678244074,-70.8770350979050079,O,
15.625,180.002,50.000,55.000,305.000,250.000,0.000,42.8014028678244074,-70.8770350979050079,O,
16.217,180.002,50.000,51.000,305.000,254.000,0.000,42.8012658112117705,-70.8770351032050598,O,
16.810,180.002,50.000,46.000,305.000,259.000,0.000,42.8011287545991266,-70.8770351085051118,O,
17.402,180.002,50.000,45.000,305.000,260.000,0.000,42.8009916979864897,-70.8770351138051495,O,
17.995,180.002,50.000,43.000,305.000,262.000,0.000,42.8008546413738458,-70.8770351191052015,O,
18.587,180.002,50.000,41.000,305.000,264.000,0.000,42.8007175847612089,-70.8770351244052534,O,
19.180,180.002,50.000,40.000,305.000,265.000,0.000,42.8005805281485721,-70.8770351297053054,O,
19.772,180.002,50.000,38.000,305.000,267.000,0.000,42.8004434715359281,-70.8770351350053431,O,
20.365,180.002,50.000,36.000,305.000,269.000,0.000,42.8003064149232912,-70.8770351403053951,O,
20.957,180.002,50.000,35.000,305.000,270.000,0.000,42.8001693583106544,-70.8770351456054470,O,
21.550,180.002,50.000,34.000,305.000,271.000,0.000,42.8000323016980104,-70.8770351509054990,O,
22.142,180.002,50.000,34.000,305.000,271.000,0.000,42.7998952450853736,-70.8770351562055367,O,
22.735,180.002,50.000,35.000,305.000,270.000,0.000,42.7997581884727296,-70.8770351615055887,O,
23.327,180.002,50.000,33.000,305.000,272.000,0.000,42.7996211318600928,-70.8770351668056406,O,
23.920,180.002,50.000,31.000,305.000,274.000,0.000,42.7994840752474559,-70.8770351721056926,O,
24.512,180.002,50.000,30.000,305.000,275.000,0.000,42.7993470186348119,-70.8770351774057303,O,
25.105,180.002,50.000,30.000,305.000,275.000,-16.000,42.7992099620221751,-70.8770351827057823,O,
25.697,180.002,50.000,29.000,289.000,260.000,0.000,42.7990729054095382,-70.8770351880058342,O,
26.290,180.002,50.000,28.000,289.000,261.000,0.000,42.7989358487968943,-70.8770351933058862,O,
26.882,180.002,50.000,26.000,289.000,263.000,0.000,42.7987987921842574,-70.8770351986059381,O,
27.475,180.002,50.000,25.000,289.000,264.000,0.000,42.7986617355716135,-70.8770352039059759,O,
28.067,180.002,50.000,22.000,289.000,267.000,0.000,42.7985246789589766,-70.8770352092060278,O,
28.660,180.002,50.000,20.000,289.000,269.000,0.000,42.7983876223463398,-70.8770352145060798,O,
29.252,180.002,50.000,17.000,289.000,272.000,0.000,42.7982505657336958,-70.8770352198061317,O,
29.845,180.002,50.000,15.000,289.000,274.000,0.000,42.7981135091210589,-70.8770352251061695,O,
30.196,180.002,50.000,14.000,289.000,275.000,0.000,42.7980323316757492,-70.8770352282453473,O,
30.630,270.001,50.000,16.000,289.000,273.000,0.000,42.7980323340046738,-70.8771722848580765,O,
31.065,270.001,50.000,17.000,289.000,272.000,0.000,42.7980323363335913,-70.8773093414707915,O,
31.500,270.001,50.000,19.000,289.000,270.000,0.000,42.7980323386625159,-70.8774463980835208,O,
31.934,270.001,50.000,20.000,289.000,269.000,0.000,42.7980323409914405,-70.8775834546962358,O,
