time_s,heading_deg,groundspeed_kt,el_ft_msl,alt_ft_msl,alt_ft_agl,altRate_fps,lat_deg,lon_deg,AirspaceClass,AirspaceName
0.000,90.002,0.000,26.000,26.000,0.000,16.000,41.7341412730103869,-70.4355195656829665,O,
15.625,90.002,50.000,26.000,276.000,250.000,0.000,41.7341412730103869,-70.4355195656829665,O,
16.067,90.002,50.000,28.000,276.000,248.000,0.000,41.7341412697339109,-70.4353825090702657,O,
16.509,90.002,50.000,30.000,276.000,246.000,0.000,41.7341412664574349,-70.4352454524575649,O,
16.951,90.002,50.000,31.000,276.000,245.000,0.000,41.7341412631809590,-70.4351083958448640,O,
17.394,90.002,50.000,33.000,276.000,243.000,0.000,41.7341412599044759,-70.4349713392321490,O,
17.789,90.002,50.000,36.000,276.000,240.000,0.000,41.7341412569705525,-70.4348486116948465,O,
18.331,209.910,50.000,31.000,276.000,245.000,0.000,41.7340327083876730,-70.4349322879773325,O,
18.872,209.910,50.000,27.000,276.000,249.000,0.000,41.7339241598047934,-70.4350159642598186,O,
19.413,209.910,50.000,27.000,276.000,249.000,0.000,41.7338156112219139,-70.4350996405423047,O,
19.955,209.910,50.000,27.000,276.000,249.000,0.000,41.7337070626390272,-70.4351833168247907,O,
19.960,209.910,50.000,27.000,276.000,249.000,0.000,41.7337060372871917,-70.4351841072324447,O,
20.501,330.094,50.000,26.000,276.000,250.000,0.000,41.7338145915135428,-70.4352677761934558,O,
21.043,330.094,50.000,26.000,276.000,250.000,0.000,41.7339231457398938,-70.4353514451544811,O,
21.584,330.094,50.000,26.000,276.000,250.000,0.000,41.7340316999662448,-70.4354351141154922,O,
22.125,330.094,50.000,26.000,276.000,250.000,0.000,41.7341402541925959,-70.4355187830765175,O,
22.667,330.094,50.000,27.000,276.000,249.000,0.000,41.7342488084189398,-70.4356024520375286,O,
23.208,330.094,50.000,28.000,276.000,248.000,0.000,41.7343573626452908,-70.4356861209985539,O,
23.749,330.094,50.000,30.000,276.000,246.000,0.000,41.7344659168716419,-70.4357697899595649,O,
24.291,330.094,50.000,31.000,276.000,245.000,0.000,41.7345744710979929,-70.4358534589205902,O,
24.301,330.094,50.000,31.000,276.000,245.000,0.000,41.7345765077211155,-70.4358550286627008,O,
24.743,90.002,50.000,31.000,276.000,245.000,0.000,41.7345765048447532,-70.4357179720499857,O,
25.185,90.002,50.000,31.000,276.000,245.000,0.000,41.7345765019683839,-70.4355809154372707,O,
25.627,90.002,50.000,33.000,276.000,243.000,0.000,41.7345764990920216,-70.4354438588245699,O,
26.070,90.002,50.000,36.000,276.000,240.000,0.000,41.7345764962156522,-70.4353068022118549,O,
26.465,90.002,50.000,38.000,276.000,238.000,0.000,41.7345764936399135,-70.4351840701449134,O,
27.007,209.909,50.000,36.000,276.000,240.000,0.000,41.7344679446489337,-70.4352677458979883,O,
27.548,209.909,50.000,33.000,276.000,243.000,0.000,41.7343593956579468,-70.4353514216510632,O,
28.089,209.909,50.000,29.000,276.000,247.000,0.000,41.7342508466669670,-70.4354350974041381,O,
28.631,209.909,50.000,26.000,276.000,250.000,0.000,41.7341422976759802,-70.4355187731572130,O,
29.172,209.909,50.000,24.000,276.000,252.000,0.000,41.7340337486850004,-70.4356024489103021,O,
29.714,209.910,50.000,23.000,276.000,253.000,0.000,41.7339251996940135,-70.4356861246633770,O,
30.255,209.910,50.000,22.000,276.000,254.000,0.000,41.7338166507030337,-70.4357698004164519,O,
30.796,209.910,50.000,21.000,276.000,255.000,0.000,41.7337081017120468,-70.4358534761695267,O,
30.806,209.910,50.000,21.000,276.000,255.000,0.000,41.7337060513679674,-70.4358550566916790,O,
31.348,330.093,50.000,22.000,276.000,254.000,0.000,41.7338146051861685,-70.4359387261822292,O,
31.889,330.093,50.000,21.000,276.000,255.000,0.000,41.7339231590043767,-70.4360223956727936,O,
32.430,330.093,50.000,21.000,276.000,255.000,0.000,41.7340317128225777,-70.4361060651633437,O,
32.972,330.093,50.000,23.000,276.000,253.000,0.000,41.7341402666407859,-70.4361897346538939,O,
32.977,330.093,50.000,23.000,276.000,253.000,0.000,41.7341412851325302,-70.4361905196717544,O,
