time_s,heading_deg,groundspeed_kt,el_ft_msl,alt_ft_msl,alt_ft_agl,altRate_fps,lat_deg,lon_deg,AirspaceClass,AirspaceName
0.000,180.004,0.000,134.000,134.000,0.000,16.000,42.4062605683162772,-72.5803289808113021,O,
15.625,180.004,50.000,134.000,384.000,250.000,0.000,42.4062605683162772,-72.5803289808113021,O,
16.217,180.004,50.000,134.000,384.000,250.000,0.000,42.4061235117042941,-72.5803289952185935,O,
16.810,180.004,50.000,132.000,384.000,252.000,0.000,42.4059864550923109,-72.5803290096258849,O,
17.402,180.004,50.000,130.000,384.000,254.000,0.000,42.4058493984803206,-72.5803290240331904,O,
17.995,180.004,50.000,127.000,384.000,257.000,0.000,42.4057123418683375,-72.5803290384404818,O,
18.587,180.004,50.000,124.000,384.000,260.000,0.000,42.4055752852563543,-72.5803290528477731,O,
19.180,180.004,50.000,123.000,384.000,261.000,0.000,42.4054382286443712,-72.5803290672550645,O,
19.772,180.004,50.000,121.000,384.000,263.000,0.000,42.4053011720323809,-72.5803290816623559,O,
20.365,180.004,50.000,121.000,384.000,263.000,0.000,42.4051641154203978,-72.5803290960696614,O,
20.957,180.004,50.000,120.000,384.000,264.000,0.000,42.4050270588084146,-72.5803291104769528,O,
21.550,180.004,50.000,118.000,384.000,266.000,0.000,42.4048900021964315,-72.5803291248842442,O,
22.142,180.004,50.000,115.000,384.000,269.000,0.000,42.4047529455844412,-72.5803291392915355,O,
22.735,180.004,50.000,117.000,384.000,267.000,0.000,42.4046158889724580,-72.5803291536988269,O,
23.327,180.004,50.000,121.000,384.000,263.000,0.000,42.4044788323604749,-72.5803291681061324,O,
23.920,180.004,50.000,125.000,384.000,259.000,0.000,42.4043417757484917,-72.5803291825134238,O,
24.512,180.004,50.000,128.000,384.000,256.000,0.000,42.4042047191365086,-72.5803291969207152,O,
25.105,180.004,50.000,128.000,384.000,256.000,0.000,42.4040676625245183,-72.5803292113280065,O,
25.697,180.004,50.000,126.000,384.000,258.000,0.000,42.4039306059125352,-72.5803292257352979,O,
25.884,180.004,50.000,126.000,384.000,258.000,0.000,42.4038874239934600,-72.5803292302745575,O,
26.321,270.004,50.000,129.000,384.000,255.000,0.000,42.4038874303713058,-72.5804662868871446,O,
26.759,270.004,50.000,133.000,384.000,251.000,0.000,42.4038874367491516,-72.5806033434997460,O,
27.196,270.004,50.000,138.000,384.000,246.000,0.000,42.4038874431269974,-72.5807404001123331,O,
27.634,270.004,50.000,142.000,384.000,242.000,0.000,42.4038874495048432,-72.5808774567249344,O,
28.071,270.004,50.000,143.000,384.000,241.000,0.000,42.4038874558826890,-72.5810145133375215,O,
28.509,270.004,50.000,143.000,384.000,241.000,0.000,42.4038874622605348,-72.5811515699501228,O,
28.946,270.004,50.000,140.000,384.000,244.000,0.000,42.4038874686383807,-72.5812886265627100,O,
29.384,270.004,50.000,137.000,384.000,247.000,0.000,42.4038874750162265,-72.5814256831753113,O,
29.821,270.004,50.000,132.000,384.000,252.000,0.000,42.4038874813940723,-72.5815627397878984,O,
30.259,270.004,50.000,127.000,384.000,257.000,0.000,42.4038874877719181,-72.5816997964004997,O,
30.696,270.004,50.000,124.000,384.000,260.000,0.000,42.4038874941497639,-72.5818368530130869,O,
31.134,270.004,50.000,121.000,384.000,263.000,0.000,42.4038875005276097,-72.5819739096256740,O,
31.571,270.004,50.000,119.000,384.000,265.000,0.000,42.4038875069054555,-72.5821109662382753,O,
32.009,270.004,50.000,118.000,384.000,266.000,0.000,42.4038875132833013,-72.5822480228508624,O,
32.446,270.004,50.000,118.000,384.000,266.000,0.000,42.4038875196611471,-72.5823850794634637,O,
32.884,270.004,50.000,118.000,384.000,266.000,0.000,42.4038875260389929,-72.5825221360760509,O,
33.321,270.004,50.000,118.000,384.000,266.000,0.000,42.4038875324168387,-72.5826591926886522,O,
33.759,270.004,50.000,118.000,384.000,266.000,0.000,42.4038875387946845,-72.5827962493012393,O,
34.085,270.004,50.000,118.000,384.000,266.000,0.000,42.4038875435512210,-72.5828984648328799,O,
34.678,0.003,50.000,121.000,384.000,263.000,0.000,42.4040246001636802,-72.5828984560172330,O,
35.270,0.003,50.000,125.000,384.000,259.000,0.000,42.4041616567761395,-72.5828984472015719,O,
35.863,0.003,50.000,127.000,384.000,257.000,0.000,42.4042987133885987,-72.5828984383859250,O,
36.455,0.003,50.000,130.000,384.000,254.000,0.000,42.4044357700010579,-72.5828984295702782,O,
37.048,0.003,50.000,131.000,384.000,253.000,0.000,42.4045728266135100,-72.5828984207546171,O,
37.640,0.003,50.000,133.000,384.000,251.000,0.000,42.4047098832259692,-72.5828984119389702,O,
38.232,0.003,50.000,135.000,384.000,249.000,0.000,42.4048469398384285,-72.5828984031233233,O,
38.825,0.003,50.000,138.000,384.000,246.000,0.000,42.4049839964508877,-72.5828983943076622,O,
39.417,0.003,50.000,135.000,384.000,249.000,0.000,42.4051210530633469,-72.5828983854920153,O,
40.010,0.003,50.000,130.000,384.000,254.000,0.000,42.4052581096758061,-72.5828983766763685,O,
40.602,0.003,50.000,127.000,384.000,257.000,0.000,42.4053951662882653,-72.5828983678607074,O,
41.195,0.003,50.000,124.000,384.000,260.000,0.000,42.4055322229007245,-72.5828983590450605,O,
41.787,0.003,50.000,123.000,384.000,261.000,0.000,42.4056692795131838,-72.5828983502294136,O,
42.380,0.003,50.000,123.000,384.000,261.000,0.000,42.4058063361256430,-72.5828983414137525,O,
42.972,0.003,50.000,123.000,384.000,261.000,0.000,42.4059433927380951,-72.5828983325981056,O,
43.565,0.003,50.000,123.000,384.000,261.000,0.000,42.4060804493505543,-72.5828983237824588,O,
44.157,0.003,50.000,122.000,384.000,262.000,0.000,42.4062175059630135,-72.5828983149667977,O,
44.750,0.003,50.000,120.000,384.000,264.000,0.000,42.4063545625754728,-72.5828983061511508,O,
45.342,0.003,50.000,122.000,384.000,262.000,0.000,42.4064916191879320,-72.5828982973355039,O,
45.935,0.003,50.000,124.000,384.000,260.000,0.000,42.4066286758003912,-72.5828982885198428,O,
46.527,0.003,50.000,126.000,384.000,258.000,0.000,42.4067657324128504,-72.5828982797041959,O,
47.120,0.003,50.000,127.000,384.000,257.000,0.000,42.4069027890253096,-72.5828982708885491,O,
47.712,0.003,50.000,126.000,384.000,258.000,0.000,42.4070398456377688,-72.5828982620728880,O,
48.305,0.003,50.000,125.000,384.000,259.000,0.000,42.4071769022502281,-72.5828982532572411,O,
48.897,0.003,50.000,124.000,384.000,260.000,0.000,42.4073139588626802,-72.5828982444415942,O,
49.490,0.003,50.000,124.000,384.000,260.000,0.000,42.4074510154751394,-72.5828982356259473,O,
50.082,0.003,50.000,125.000,384.000,259.000,0.000,42.4075880720875986,-72.5828982268102862,O,
50.675,0.003,50.000,127.000,384.000,257.000,0.000,42.4077251287000578,-72.5828982179946394,O,
51.267,0.003,50.000,127.000,384.000,257.000,0.000,42.4078621853125171,-72.5828982091789925,O,
51.860,0.003,50.000,125.000,384.000,259.000,0.000,42.4079992419249763,-72.5828982003633314,O,
52.452,0.003,50.000,123.000,384.000,261.000,0.000,42.4081362985374355,-72.5828981915476845,O,
53.045,0.003,50.000,121.000,384.000,263.000,0.000,42.4082733551498947,-72.5828981827320376,O,
53.637,0.003,50.000,121.000,384.000,263.000,0.000,42.4084104117623539,-72.5828981739163765,O,
54.230,0.003,50.000,122.000,384.000,262.000,0.000,42.4085474683748131,-72.5828981651007297,O,
54.603,0.003,50.000,124.000,384.000,260.000,0.000,42.4086338312105795,-72.5828981595457634,O,
55.040,90.004,50.000,125.000,384.000,259.000,0.000,42.4086338232962419,-72.5827611029332473,O,
55.478,90.004,50.000,125.000,384.000,259.000,0.000,42.4086338153819113,-72.5826240463207313,O,
55.915,90.004,50.000,125.000,384.000,259.000,0.000,42.4086338074675737,-72.5824869897082294,O,
56.353,90.004,50.000,127.000,384.000,257.000,0.000,42.4086337995532432,-72.5823499330957134,O,
56.790,90.004,50.000,128.000,384.000,256.000,0.000,42.4086337916389056,-72.5822128764831973,O,
57.228,90.004,50.000,128.000,384.000,256.000,0.000,42.4086337837245679,-72.5820758198706812,O,
57.665,90.004,50.000,128.000,384.000,256.000,0.000,42.4086337758102374,-72.5819387632581652,O,
58.103,90.004,50.000,128.000,384.000,256.000,0.000,42.4086337678958998,-72.5818017066456491,O,
58.540,90.004,50.000,128.000,384.000,256.000,0.000,42.4086337599815622,-72.5816646500331473,O,
58.978,90.004,50.000,127.000,384.000,257.000,0.000,42.4086337520672316,-72.5815275934206312,O,
59.415,90.004,50.000,125.000,384.000,259.000,0.000,42.4086337441528940,-72.5813905368081151,O,
59.852,90.004,50.000,127.000,384.000,257.000,0.000,42.4086337362385635,-72.5812534801955991,O,
60.290,90.004,50.000,128.000,384.000,256.000,0.000,42.4086337283242258,-72.5811164235830830,O,
