time_s,heading_deg,groundspeed_kt,el_ft_msl,alt_ft_msl,alt_ft_agl,altRate_fps,lat_deg,lon_deg,AirspaceClass,AirspaceName
0.000,90.004,0.000,397.000,397.000,0.000,16.000,42.1011943743516994,-72.8006382105888008,O,
15.625,90.004,50.000,397.000,647.000,250.000,0.000,42.1011943743516994,-72.8006382105888008,O,
16.065,90.004,50.000,395.000,647.000,252.000,0.000,42.1011943666521731,-72.8005011539762705,O,
16.504,90.004,50.000,394.000,647.000,253.000,0.000,42.1011943589526467,-72.8003640973637545,O,
16.944,90.004,50.000,392.000,647.000,255.000,0.000,42.1011943512531204,-72.8002270407512242,O,
17.383,90.004,50.000,390.000,647.000,257.000,0.000,42.1011943435535940,-72.8000899841386939,O,
17.823,90.004,50.000,389.000,647.000,258.000,0.000,42.1011943358540677,-72.7999529275261779,O,
18.263,90.004,50.000,388.000,647.000,259.000,0.000,42.1011943281545413,-72.7998158709136476,O,
18.702,90.004,50.000,387.000,647.000,260.000,0.000,42.1011943204550150,-72.7996788143011173,O,
19.142,90.004,50.000,387.000,647.000,260.000,0.000,42.1011943127554886,-72.7995417576886013,O,
19.581,90.004,50.000,387.000,647.000,260.000,0.000,42.1011943050559623,-72.7994047010760710,O,
20.021,90.004,50.000,386.000,647.000,261.000,0.000,42.1011942973564359,-72.7992676444635407,O,
20.461,90.004,50.000,384.000,647.000,263.000,0.000,42.1011942896569096,-72.7991305878510246,O,
20.900,90.004,50.000,381.000,647.000,266.000,0.000,42.1011942819573832,-72.7989935312384944,O,
21.340,90.004,50.000,378.000,647.000,269.000,0.000,42.1011942742578569,-72.7988564746259641,O,
21.779,90.004,50.000,377.000,647.000,270.000,0.000,42.1011942665583305,-72.7987194180134338,O,
22.219,90.004,50.000,376.000,647.000,271.000,0.000,42.1011942588588042,-72.7985823614009178,O,
22.659,90.004,50.000,375.000,647.000,272.000,0.000,42.1011942511592778,-72.7984453047883875,O,
23.098,90.004,50.000,375.000,647.000,272.000,0.000,42.1011942434597515,-72.7983082481758572,O,
23.538,90.004,50.000,374.000,647.000,273.000,0.000,42.1011942357602251,-72.7981711915633412,O,
23.977,90.004,50.000,374.000,647.000,273.000,0.000,42.1011942280606988,-72.7980341349508109,O,
24.417,90.004,50.000,372.000,647.000,275.000,-16.000,42.1011942203611724,-72.7978970783382806,O,
24.857,90.004,50.000,371.000,631.000,260.000,0.000,42.1011942126616461,-72.7977600217257645,O,
25.296,90.004,50.000,371.000,631.000,260.000,0.000,42.1011942049621197,-72.7976229651132343,O,
25.736,90.004,50.000,371.000,631.000,260.000,0.000,42.1011941972625934,-72.7974859085007040,O,
26.175,90.004,50.000,370.000,631.000,261.000,0.000,42.1011941895630670,-72.7973488518881879,O,
26.258,90.004,50.000,370.000,631.000,261.000,0.000,42.1011941881124230,-72.7973230295317251,O,
26.798,209.913,50.000,369.000,631.000,262.000,0.000,42.1010858788328548,-72.7974070153344286,O,
27.339,209.913,50.000,369.000,631.000,262.000,0.000,42.1009775695532795,-72.7974910011371179,O,
27.879,209.913,50.000,369.000,631.000,262.000,0.000,42.1008692602737113,-72.7975749869398214,O,
28.419,209.914,50.000,371.000,631.000,260.000,0.000,42.1007609509941361,-72.7976589727425250,O,
28.959,209.914,50.000,373.000,631.000,258.000,0.000,42.1006526417145679,-72.7977429585452143,O,
29.499,209.914,50.000,375.000,631.000,256.000,0.000,42.1005443324349926,-72.7978269443479178,O,
30.039,209.914,50.000,377.000,631.000,254.000,0.000,42.1004360231554244,-72.7979109301506213,O,
30.580,209.914,50.000,379.000,631.000,252.000,0.000,42.1003277138758492,-72.7979949159533106,O,
31.120,209.914,50.000,381.000,631.000,250.000,0.000,42.1002194045962810,-72.7980789017560141,O,
31.660,209.914,50.000,381.000,631.000,250.000,0.000,42.1001110953167057,-72.7981628875587177,O,
32.200,209.914,50.000,381.000,631.000,250.000,0.000,42.1000027860371375,-72.7982468733614070,O,
32.740,209.914,50.000,379.000,631.000,252.000,0.000,42.0998944767575622,-72.7983308591641105,O,
33.281,209.914,50.000,379.000,631.000,252.000,0.000,42.0997861674779941,-72.7984148449668140,O,
33.821,209.914,50.000,378.000,631.000,253.000,0.000,42.0996778581984188,-72.7984988307695176,O,
34.361,209.914,50.000,377.000,631.000,254.000,0.000,42.0995695489188506,-72.7985828165722069,O,
34.901,209.914,50.000,376.000,631.000,255.000,0.000,42.0994612396392753,-72.7986668023749104,O,
35.441,209.914,50.000,378.000,631.000,253.000,0.000,42.0993529303597072,-72.7987507881776139,O,
35.981,209.914,50.000,380.000,631.000,251.000,0.000,42.0992446210801319,-72.7988347739803032,O,
36.522,209.914,50.000,381.000,631.000,250.000,0.000,42.0991363118005637,-72.7989187597830067,O,
36.921,209.914,50.000,380.000,631.000,251.000,0.000,42.0990562566562829,-72.7989808366020839,O,
37.461,330.093,50.000,381.000,631.000,250.000,0.000,42.0991645785012949,-72.7990648061977055,O,
38.001,330.093,50.000,383.000,631.000,248.000,0.000,42.0992729003463069,-72.7991487757933413,O,
38.541,330.094,50.000,386.000,631.000,245.000,0.000,42.0993812221913117,-72.7992327453889629,O,
39.082,330.094,50.000,390.000,631.000,241.000,0.000,42.0994895440363237,-72.7993167149845988,O,
39.622,330.094,50.000,394.000,631.000,237.000,0.000,42.0995978658813357,-72.7994006845802204,O,
40.162,330.094,50.000,397.000,631.000,234.000,0.000,42.0997061877263477,-72.7994846541758562,O,
40.702,330.094,50.000,396.000,631.000,235.000,0.000,42.0998145095713525,-72.7995686237714779,O,
41.242,330.094,50.000,396.000,631.000,235.000,0.000,42.0999228314163645,-72.7996525933670995,O,
41.783,330.094,50.000,396.000,631.000,235.000,0.000,42.1000311532613765,-72.7997365629627353,O,
42.323,330.094,50.000,394.000,631.000,237.000,0.000,42.1001394751063884,-72.7998205325583569,O,
42.863,330.094,50.000,393.000,631.000,238.000,0.000,42.1002477969514004,-72.7999045021539928,O,
43.403,330.094,50.000,394.000,631.000,237.000,0.000,42.1003561187964053,-72.7999884717496144,O,
43.943,330.094,50.000,394.000,631.000,237.000,0.000,42.1004644406414172,-72.8000724413452360,O,
44.484,330.094,50.000,396.000,631.000,235.000,0.000,42.1005727624864292,-72.8001564109408719,O,
45.024,330.094,50.000,397.000,631.000,234.000,0.000,42.1006810843314412,-72.8002403805364935,O,
45.564,330.094,50.000,397.000,631.000,234.000,0.000,42.1007894061764461,-72.8003243501321293,O,
46.104,330.094,50.000,398.000,631.000,233.000,0.000,42.1008977280214580,-72.8004083197277509,O,
46.644,330.094,50.000,397.000,631.000,234.000,0.000,42.1010060498664700,-72.8004922893233868,O,
47.185,330.094,50.000,397.000,631.000,234.000,0.000,42.1011143717114820,-72.8005762589190084,O,
47.725,330.094,50.000,397.000,631.000,234.000,0.000,42.1012226935564868,-72.8006602285146300,O,
48.265,330.094,50.000,397.000,631.000,234.000,0.000,42.1013310154014988,-72.8007441981102659,O,
48.805,330.094,50.000,397.000,631.000,234.000,0.000,42.1014393372465108,-72.8008281677058875,O,
49.345,330.094,50.000,396.000,631.000,235.000,0.000,42.1015476590915227,-72.8009121373015233,O,
49.886,330.094,50.000,395.000,631.000,236.000,0.000,42.1016559809365347,-72.8009961068971450,O,
50.426,330.094,50.000,394.000,631.000,237.000,0.000,42.1017643027815396,-72.8010800764927808,O,
50.966,330.095,50.000,394.000,631.000,237.000,0.000,42.1018726246265516,-72.8011640460884024,O,
51.506,330.095,50.000,394.000,631.000,237.000,0.000,42.1019809464715635,-72.8012480156840240,O,
52.046,330.095,50.000,392.000,631.000,239.000,0.000,42.1020892683165755,-72.8013319852796599,O,
52.587,330.095,50.000,388.000,631.000,243.000,0.000,42.1021975901615804,-72.8014159548752815,O,
53.127,330.095,50.000,386.000,631.000,245.000,0.000,42.1023059120065923,-72.8014999244709173,O,
53.667,330.095,50.000,382.000,631.000,249.000,0.000,42.1024142338516043,-72.8015838940665390,O,
54.207,330.095,50.000,376.000,631.000,255.000,0.000,42.1025225556966163,-72.8016678636621748,O,
54.747,330.095,50.000,373.000,631.000,258.000,0.000,42.1026308775416283,-72.8017518332577964,O,
55.287,330.095,50.000,370.000,631.000,261.000,0.000,42.1027391993866331,-72.8018358028534180,O,
55.828,330.095,50.000,368.000,631.000,263.000,0.000,42.1028475212316451,-72.8019197724490539,O,
56.368,330.095,50.000,365.000,631.000,266.000,0.000,42.1029558430766571,-72.8020037420446755,O,
56.908,330.095,50.000,364.000,631.000,267.000,0.000,42.1030641649216690,-72.8020877116403113,O,
57.448,330.095,50.000,365.000,631.000,266.000,0.000,42.1031724867666739,-72.8021716812359330,O,
57.988,330.095,50.000,366.000,631.000,265.000,0.000,42.1032808086116859,-72.8022556508315546,O,
58.246,330.095,50.000,366.000,631.000,265.000,0.000,42.1033324673040852,-72.8022956959352143,O,
58.686,90.003,50.000,362.000,631.000,269.000,0.000,42.1033324615840527,-72.8021586393225846,O,
59.125,90.003,50.000,357.000,631.000,274.000,-16.000,42.1033324558640203,-72.8020215827099690,O,
59.565,90.003,50.000,353.000,615.000,262.000,0.000,42.1033324501439878,-72.8018845260973393,O,
60.004,90.003,50.000,350.000,615.000,265.000,0.000,42.1033324444239554,-72.8017474694847238,O,
60.444,90.003,50.000,347.000,615.000,268.000,0.000,42.1033324387039301,-72.8016104128720940,O,
60.884,90.003,50.000,345.000,615.000,270.000,0.000,42.1033324329838976,-72.8014733562594785,O,
