time_s,heading_deg,groundspeed_kt,el_ft_msl,alt_ft_msl,alt_ft_agl,altRate_fps,lat_deg,lon_deg,AirspaceClass,AirspaceName
0.000,180.002,0.000,56.000,56.000,0.000,16.000,41.7704363912990360,-70.5951025111076973,O,
15.625,180.002,50.000,56.000,306.000,250.000,0.000,41.7704363912990360,-70.5951025111076973,O,
16.217,180.002,50.000,56.000,306.000,250.000,0.000,41.7702993346864631,-70.5951025178940768,O,
16.810,180.002,50.000,61.000,306.000,245.000,0.000,41.7701622780738901,-70.5951025246804420,O,
17.402,180.002,50.000,67.000,306.000,239.000,0.000,41.7700252214613172,-70.5951025314668215,O,
17.995,180.002,50.000,71.000,306.000,235.000,0.000,41.7698881648487372,-70.5951025382532009,O,
18.587,180.002,50.000,75.000,306.000,231.000,0.000,41.7697511082361643,-70.5951025450395662,O,
19.180,180.002,50.000,75.000,306.000,231.000,0.000,41.7696140516235914,-70.5951025518259456,O,
19.772,180.002,50.000,74.000,306.000,232.000,0.000,41.7694769950110185,-70.5951025586123251,O,
20.365,180.002,50.000,70.000,306.000,236.000,0.000,41.7693399383984456,-70.5951025653986903,O,
20.957,180.002,50.000,65.000,306.000,241.000,0.000,41.7692028817858727,-70.5951025721850698,O,
21.550,180.002,50.000,63.000,306.000,243.000,0.000,41.7690658251732927,-70.5951025789714492,O,
22.142,180.002,50.000,63.000,306.000,243.000,0.000,41.7689287685607198,-70.5951025857578145,O,
22.735,180.002,50.000,60.000,306.000,246.000,0.000,41.7687917119481469,-70.5951025925441940,O,
23.327,180.002,50.000,58.000,306.000,248.000,0.000,41.7686546553355740,-70.5951025993305734,O,
23.920,180.002,50.000,56.000,306.000,250.000,0.000,41.7685175987230011,-70.5951026061169387,O,
24.022,180.002,50.000,56.000,306.000,250.000,0.000,41.7684939235549635,-70.5951026072892205,O,
24.464,270.002,50.000,57.000,306.000,249.000,0.000,41.7684939263312387,-70.5952396639019355,O,
24.906,270.002,50.000,58.000,306.000,248.000,0.000,41.7684939291075139,-70.5953767205146505,O,
25.348,270.002,50.000,58.000,306.000,248.000,0.000,41.7684939318837962,-70.5955137771273655,O,
25.790,270.002,50.000,58.000,306.000,248.000,0.000,41.7684939346600714,-70.5956508337400805,O,
26.232,270.002,50.000,59.000,306.000,247.000,0.000,41.7684939374363466,-70.5957878903527956,O,
26.674,270.002,50.000,60.000,306.000,246.000,0.000,41.7684939402126219,-70.5959249469655106,O,
27.115,270.002,50.000,60.000,306.000,246.000,0.000,41.7684939429889042,-70.5960620035782114,O,
27.557,270.002,50.000,60.000,306.000,246.000,0.000,41.7684939457651794,-70.5961990601909264,O,
27.999,270.002,50.000,60.000,306.000,246.000,0.000,41.7684939485414546,-70.5963361168036414,O,
28.441,270.002,50.000,59.000,306.000,247.000,0.000,41.7684939513177298,-70.5964731734163564,O,
28.883,270.002,50.000,57.000,306.000,249.000,0.000,41.7684939540940121,-70.5966102300290714,O,
29.325,270.002,50.000,55.000,306.000,251.000,0.000,41.7684939568702873,-70.5967472866417864,O,
29.575,270.002,50.000,54.000,306.000,252.000,0.000,41.7684939584396773,-70.5968247628422603,O,
30.167,0.001,50.000,58.000,306.000,248.000,0.000,41.7686310150523852,-70.5968247597214003,O,
30.760,0.001,50.000,65.000,306.000,241.000,0.000,41.7687680716650931,-70.5968247566005545,O,
31.352,0.001,50.000,71.000,306.000,235.000,0.000,41.7689051282777939,-70.5968247534796944,O,
31.945,0.001,50.000,72.000,306.000,234.000,0.000,41.7690421848905018,-70.5968247503588344,O,
32.537,0.001,50.000,74.000,306.000,232.000,0.000,41.7691792415032097,-70.5968247472379744,O,
33.130,0.001,50.000,74.000,306.000,232.000,0.000,41.7693162981159176,-70.5968247441171286,O,
33.722,0.001,50.000,75.000,306.000,231.000,0.000,41.7694533547286255,-70.5968247409962686,O,
34.315,0.001,50.000,74.000,306.000,232.000,0.000,41.7695904113413263,-70.5968247378754086,O,
34.907,0.001,50.000,72.000,306.000,234.000,0.000,41.7697274679540342,-70.5968247347545486,O,
35.500,0.001,50.000,64.000,306.000,242.000,0.000,41.7698645245667421,-70.5968247316337028,O,
36.092,0.001,50.000,56.000,306.000,250.000,0.000,41.7700015811794501,-70.5968247285128427,O,
36.685,0.001,50.000,49.000,306.000,257.000,0.000,41.7701386377921580,-70.5968247253919827,O,
37.277,0.001,50.000,41.000,306.000,265.000,0.000,41.7702756944048588,-70.5968247222711227,O,
37.869,0.001,50.000,43.000,306.000,263.000,0.000,41.7704127510175667,-70.5968247191502769,O,
37.972,0.001,50.000,44.000,306.000,262.000,-16.000,41.7704364261861087,-70.5968247186111739,O,
54.347,0.001,0.000,44.000,44.000,0.000,0.000,41.7704364261861087,-70.5968247186111739,O,
