time_s,heading_deg,groundspeed_kt,el_ft_msl,alt_ft_msl,alt_ft_agl,altRate_fps,lat_deg,lon_deg,AirspaceClass,AirspaceName
0.000,90.008,0.000,1069.000,1069.000,0.000,16.000,42.5885336822964220,-71.8797110790569320,O,
15.625,90.008,50.000,1069.000,1319.000,250.000,0.000,42.5885336822964220,-71.8797110790569320,O,
16.061,90.008,50.000,1063.000,1319.000,256.000,0.000,42.5885336684847005,-71.8795740224448849,O,
16.497,90.008,50.000,1058.000,1319.000,261.000,0.000,42.5885336546729789,-71.8794369658328378,O,
16.934,90.008,50.000,1050.000,1319.000,269.000,-16.000,42.5885336408612645,-71.8792999092207907,O,
17.370,90.008,50.000,1042.000,1303.000,261.000,0.000,42.5885336270495429,-71.8791628526087436,O,
17.806,90.008,50.000,1032.000,1303.000,271.000,-16.000,42.5885336132378214,-71.8790257959966965,O,
18.242,90.008,50.000,1022.000,1287.000,265.000,0.000,42.5885335994260998,-71.8788887393846494,O,
18.678,90.008,50.000,1015.000,1287.000,272.000,-16.000,42.5885335856143854,-71.8787516827726165,O,
19.115,90.008,50.000,1007.000,1271.000,264.000,0.000,42.5885335718026639,-71.8786146261605694,O,
19.551,90.008,50.000,1001.000,1271.000,270.000,-16.000,42.5885335579909423,-71.8784775695485223,O,
19.987,90.008,50.000,995.000,1255.000,260.000,0.000,42.5885335441792208,-71.8783405129364752,O,
20.423,90.008,50.000,992.000,1255.000,263.000,0.000,42.5885335303674992,-71.8782034563244281,O,
20.859,90.008,50.000,989.000,1255.000,266.000,0.000,42.5885335165557848,-71.8780663997123810,O,
21.296,90.008,50.000,989.000,1255.000,266.000,0.000,42.5885335027440632,-71.8779293431003339,O,
21.732,90.008,50.000,989.000,1255.000,266.000,0.000,42.5885334889323417,-71.8777922864882868,O,
22.168,90.008,50.000,991.000,1255.000,264.000,0.000,42.5885334751206202,-71.8776552298762397,O,
22.604,90.008,50.000,993.000,1255.000,262.000,0.000,42.5885334613088986,-71.8775181732641926,O,
23.040,90.008,50.000,997.000,1255.000,258.000,0.000,42.5885334474971842,-71.8773811166521455,O,
23.477,90.008,50.000,1000.000,1255.000,255.000,0.000,42.5885334336854626,-71.8772440600400984,O,
23.913,90.008,50.000,1003.000,1255.000,252.000,0.000,42.5885334198737411,-71.8771070034280513,O,
24.349,90.008,50.000,1006.000,1255.000,249.000,0.000,42.5885334060620195,-71.8769699468160042,O,
24.785,90.008,50.000,1009.000,1255.000,246.000,0.000,42.5885333922503051,-71.8768328902039713,O,
25.222,90.008,50.000,1013.000,1255.000,242.000,0.000,42.5885333784385836,-71.8766958335919242,O,
25.658,90.008,50.000,1018.000,1255.000,237.000,0.000,42.5885333646268620,-71.8765587769798771,O,
26.094,90.008,50.000,1025.000,1255.000,230.000,16.000,42.5885333508151405,-71.8764217203678299,O,
26.530,90.008,50.000,1032.000,1271.000,239.000,0.000,42.5885333370034189,-71.8762846637557828,O,
26.966,90.008,50.000,1040.000,1271.000,231.000,0.000,42.5885333231917045,-71.8761476071437357,O,
27.403,90.008,50.000,1046.000,1271.000,225.000,16.000,42.5885333093799829,-71.8760105505316886,O,
27.839,90.008,50.000,1051.000,1287.000,236.000,0.000,42.5885332955682614,-71.8758734939196415,O,
28.275,90.008,50.000,1052.000,1287.000,235.000,0.000,42.5885332817565398,-71.8757364373075944,O,
28.711,90.008,50.000,1051.000,1287.000,236.000,0.000,42.5885332679448183,-71.8755993806955473,O,
29.147,90.008,50.000,1050.000,1287.000,237.000,0.000,42.5885332541331039,-71.8754623240835002,O,
29.584,90.008,50.000,1050.000,1287.000,237.000,0.000,42.5885332403213823,-71.8753252674714531,O,
30.020,90.008,50.000,1050.000,1287.000,237.000,0.000,42.5885332265096608,-71.8751882108594060,O,
30.456,90.008,50.000,1051.000,1287.000,236.000,0.000,42.5885332126979392,-71.8750511542473589,O,
30.892,90.008,50.000,1051.000,1287.000,236.000,0.000,42.5885331988862248,-71.8749140976353260,O,
31.328,90.008,50.000,1049.000,1287.000,238.000,0.000,42.5885331850745033,-71.8747770410232789,O,
31.757,90.008,50.000,1048.000,1287.000,239.000,0.000,42.5885331715147188,-71.8746424844377003,O,
32.295,209.918,50.000,1051.000,1287.000,236.000,0.000,42.5884251867803485,-71.8747268871167933,O,
32.834,209.918,50.000,1054.000,1287.000,233.000,0.000,42.5883172020459710,-71.8748112897959004,O,
33.372,209.918,50.000,1054.000,1287.000,233.000,0.000,42.5882092173116007,-71.8748956924749933,O,
33.911,209.918,50.000,1053.000,1287.000,234.000,0.000,42.5881012325772303,-71.8749800951540863,O,
34.450,209.919,50.000,1053.000,1287.000,234.000,0.000,42.5879932478428529,-71.8750644978331792,O,
34.988,209.919,50.000,1053.000,1287.000,234.000,0.000,42.5878852631084825,-71.8751489005122863,O,
35.527,209.919,50.000,1053.000,1287.000,234.000,0.000,42.5877772783741122,-71.8752333031913793,O,
36.065,209.919,50.000,1054.000,1287.000,233.000,0.000,42.5876692936397347,-71.8753177058704722,O,
36.604,209.919,50.000,1053.000,1287.000,234.000,0.000,42.5875613089053644,-71.8754021085495793,O,
37.142,209.919,50.000,1050.000,1287.000,237.000,0.000,42.5874533241709869,-71.8754865112286723,O,
37.681,209.919,50.000,1046.000,1287.000,241.000,0.000,42.5873453394366166,-71.8755709139077652,O,
38.220,209.919,50.000,1041.000,1287.000,246.000,0.000,42.5872373547022463,-71.8756553165868581,O,
38.758,209.919,50.000,1038.000,1287.000,249.000,0.000,42.5871293699678688,-71.8757397192659653,O,
39.297,209.919,50.000,1037.000,1287.000,250.000,0.000,42.5870213852334984,-71.8758241219450582,O,
39.835,209.919,50.000,1037.000,1287.000,250.000,0.000,42.5869134004991281,-71.8759085246241511,O,
40.374,209.919,50.000,1040.000,1287.000,247.000,0.000,42.5868054157647506,-71.8759929273032441,O,
40.913,209.919,50.000,1043.000,1287.000,244.000,0.000,42.5866974310303803,-71.8760773299823512,O,
41.451,209.919,50.000,1041.000,1287.000,246.000,0.000,42.5865894462960100,-71.8761617326614441,O,
41.990,209.919,50.000,1037.000,1287.000,250.000,0.000,42.5864814615616325,-71.8762461353405371,O,
42.528,209.919,50.000,1036.000,1287.000,251.000,0.000,42.5863734768272622,-71.8763305380196442,O,
43.067,209.919,50.000,1037.000,1287.000,250.000,0.000,42.5862654920928918,-71.8764149406987372,O,
43.606,209.919,50.000,1036.000,1287.000,251.000,0.000,42.5861575073585144,-71.8764993433778301,O,
44.144,209.919,50.000,1034.000,1287.000,253.000,0.000,42.5860495226241440,-71.8765837460569230,O,
44.683,209.919,50.000,1030.000,1287.000,257.000,0.000,42.5859415378897737,-71.8766681487360302,O,
45.221,209.919,50.000,1023.000,1287.000,264.000,0.000,42.5858335531553962,-71.8767525514151231,O,
45.760,209.919,50.000,1015.000,1287.000,272.000,-16.000,42.5857255684210259,-71.8768369540942160,O,
46.298,209.919,50.000,1008.000,1271.000,263.000,0.000,42.5856175836866484,-71.8769213567733232,O,
46.837,209.920,50.000,1005.000,1271.000,266.000,0.000,42.5855095989522781,-71.8770057594524161,O,
47.376,209.920,50.000,1003.000,1271.000,268.000,0.000,42.5854016142179077,-71.8770901621315090,O,
47.914,209.920,50.000,1001.000,1271.000,270.000,0.000,42.5852936294835303,-71.8771745648106020,O,
47.932,209.920,50.000,1001.000,1271.000,270.000,0.000,42.5852900273951107,-71.8771773802633192,O,
48.471,330.094,50.000,1002.000,1271.000,269.000,0.000,42.5853980354273389,-71.8772617531266746,O,
49.009,330.095,50.000,1005.000,1271.000,266.000,0.000,42.5855060434595742,-71.8773461259900159,O,
49.548,330.095,50.000,1009.000,1271.000,262.000,0.000,42.5856140514918025,-71.8774304988533714,O,
50.087,330.095,50.000,1013.000,1271.000,258.000,0.000,42.5857220595240307,-71.8775148717167269,O,
50.625,330.095,50.000,1014.000,1271.000,257.000,0.000,42.5858300675562589,-71.8775992445800682,O,
51.164,330.095,50.000,1014.000,1271.000,257.000,0.000,42.5859380755884942,-71.8776836174434237,O,
51.703,330.095,50.000,1014.000,1271.000,257.000,0.000,42.5860460836207224,-71.8777679903067792,O,
52.241,330.095,50.000,1012.000,1271.000,259.000,0.000,42.5861540916529506,-71.8778523631701347,O,
52.780,330.095,50.000,1008.000,1271.000,263.000,0.000,42.5862620996851788,-71.8779367360334760,O,
53.318,330.095,50.000,1005.000,1271.000,266.000,0.000,42.5863701077174142,-71.8780211088968315,O,
53.857,330.095,50.000,1004.000,1271.000,267.000,0.000,42.5864781157496424,-71.8781054817601870,O,
54.396,330.095,50.000,1004.000,1271.000,267.000,0.000,42.5865861237818706,-71.8781898546235283,O,
54.934,330.095,50.000,1002.000,1271.000,269.000,0.000,42.5866941318141059,-71.8782742274868838,O,
55.473,330.095,50.000,1001.000,1271.000,270.000,0.000,42.5868021398463341,-71.8783586003502393,O,
56.012,330.095,50.000,1001.000,1271.000,270.000,0.000,42.5869101478785623,-71.8784429732135806,O,
56.550,330.095,50.000,1000.000,1271.000,271.000,0.000,42.5870181559107905,-71.8785273460769361,O,
57.089,330.095,50.000,999.000,1271.000,272.000,0.000,42.5871261639430259,-71.8786117189402916,O,
57.627,330.095,50.000,998.000,1271.000,273.000,0.000,42.5872341719752541,-71.8786960918036471,O,
58.166,330.095,50.000,999.000,1271.000,272.000,0.000,42.5873421800074823,-71.8787804646669883,O,
58.705,330.095,50.000,998.000,1271.000,273.000,0.000,42.5874501880397176,-71.8788648375303438,O,
59.243,330.095,50.000,1000.000,1271.000,271.000,0.000,42.5875581960719458,-71.8789492103936993,O,
59.782,330.095,50.000,1005.000,1271.000,266.000,0.000,42.5876662041041740,-71.8790335832570406,O,
60.321,330.095,50.000,1011.000,1271.000,260.000,0.000,42.5877742121364022,-71.8791179561203961,O,
60.859,330.095,50.000,1018.000,1271.000,253.000,0.000,42.5878822201686376,-71.8792023289837516,O,
61.398,330.096,50.000,1025.000,1271.000,246.000,0.000,42.5879902282008658,-71.8792867018470929,O,
61.936,330.096,50.000,1032.000,1271.000,239.000,0.000,42.5880982362330940,-71.8793710747104484,O,
62.475,330.096,50.000,1041.000,1271.000,230.000,16.000,42.5882062442653222,-71.8794554475738039,O,
63.014,330.096,50.000,1050.000,1287.000,237.000,0.000,42.5883142522975575,-71.8795398204371594,O,
63.552,330.096,50.000,1060.000,1287.000,227.000,16.000,42.5884222603297857,-71.8796241933005007,O,
64.091,330.096,50.000,1068.000,1303.000,235.000,0.000,42.5885302683620139,-71.8797085661638562,O,
64.630,330.096,50.000,1077.000,1303.000,226.000,16.000,42.5886382763942493,-71.8797929390272117,O,
65.168,330.096,50.000,1081.000,1319.000,238.000,0.000,42.5887462844264775,-71.8798773118905530,O,
65.707,330.096,50.000,1082.000,1319.000,237.000,0.000,42.5888542924587057,-71.8799616847539085,O,
66.245,330.096,50.000,1087.000,1319.000,232.000,0.000,42.5889623004909339,-71.8800460576172640,O,
66.784,330.096,50.000,1094.000,1319.000,225.000,16.000,42.5890703085231692,-71.8801304304806052,O,
67.323,330.096,50.000,1101.000,1335.000,234.000,0.000,42.5891783165553974,-71.8802148033439607,O,
67.861,330.096,50.000,1108.000,1335.000,227.000,16.000,42.5892863245876256,-71.8802991762073162,O,
68.400,330.096,50.000,1116.000,1351.000,235.000,0.000,42.5893943326198539,-71.8803835490706717,O,
68.939,330.096,50.000,1122.000,1351.000,229.000,16.000,42.5895023406520892,-71.8804679219340130,O,
69.477,330.096,50.000,1129.000,1367.000,238.000,0.000,42.5896103486843174,-71.8805522947973685,O,
70.016,330.096,50.000,1135.000,1367.000,232.000,0.000,42.5897183567165456,-71.8806366676607240,O,
70.554,330.096,50.000,1139.000,1367.000,228.000,16.000,42.5898263647487809,-71.8807210405240653,O,
