time_s,heading_deg,groundspeed_kt,el_ft_msl,alt_ft_msl,alt_ft_agl,altRate_fps,lat_deg,lon_deg,AirspaceClass,AirspaceName
0.000,180.005,0.000,136.000,136.000,0.000,16.000,42.3807767675335754,-71.3768228839123253,O,
15.625,180.005,50.000,136.000,386.000,250.000,0.000,42.3807767675335754,-71.3768228839123253,O,
16.217,180.005,50.000,136.000,386.000,250.000,0.000,42.3806397109217343,-71.3768228996574123,O,
16.810,180.005,50.000,136.000,386.000,250.000,0.000,42.3805026543099004,-71.3768229154024993,O,
17.402,180.005,50.000,137.000,386.000,249.000,0.000,42.3803655976980593,-71.3768229311475864,O,
17.995,180.005,50.000,138.000,386.000,248.000,0.000,42.3802285410862254,-71.3768229468926592,O,
18.587,180.005,50.000,138.000,386.000,248.000,0.000,42.3800914844743843,-71.3768229626377462,O,
19.180,180.005,50.000,138.000,386.000,248.000,0.000,42.3799544278625504,-71.3768229783828332,O,
19.772,180.005,50.000,138.000,386.000,248.000,0.000,42.3798173712507094,-71.3768229941279202,O,
20.365,180.005,50.000,137.000,386.000,249.000,0.000,42.3796803146388754,-71.3768230098730072,O,
20.957,180.005,50.000,136.000,386.000,250.000,0.000,42.3795432580270344,-71.3768230256180942,O,
21.550,180.005,50.000,134.000,386.000,252.000,0.000,42.3794062014152004,-71.3768230413631670,O,
22.142,180.005,50.000,132.000,386.000,254.000,0.000,42.3792691448033594,-71.3768230571082540,O,
22.735,180.005,50.000,131.000,386.000,255.000,0.000,42.3791320881915254,-71.3768230728533410,O,
23.327,180.005,50.000,130.000,386.000,256.000,0.000,42.3789950315796844,-71.3768230885984281,O,
23.920,180.005,50.000,130.000,386.000,256.000,0.000,42.3788579749678505,-71.3768231043435151,O,
24.512,180.005,50.000,134.000,386.000,252.000,0.000,42.3787209183560094,-71.3768231200886021,O,
25.105,180.005,50.000,136.000,386.000,250.000,0.000,42.3785838617441755,-71.3768231358336749,O,
25.697,180.005,50.000,137.000,386.000,249.000,0.000,42.3784468051323344,-71.3768231515787619,O,
26.290,180.005,50.000,137.000,386.000,249.000,0.000,42.3783097485205005,-71.3768231673238489,O,
26.882,180.005,50.000,135.000,386.000,251.000,0.000,42.3781726919086594,-71.3768231830689359,O,
27.475,180.005,50.000,133.000,386.000,253.000,0.000,42.3780356352968255,-71.3768231988140229,O,
27.640,180.005,50.000,132.000,386.000,254.000,0.000,42.3779974858420587,-71.3768232031966363,O,
