time_s,heading_deg,groundspeed_kt,el_ft_msl,alt_ft_msl,alt_ft_agl,altRate_fps,lat_deg,lon_deg,AirspaceClass,AirspaceName
0.000,90.002,0.000,206.000,206.000,0.000,16.000,41.7503818746238693,-71.1144825477300344,O,
15.625,90.002,50.000,206.000,456.000,250.000,0.000,41.7503818746238693,-71.1144825477300344,O,
16.067,90.002,50.000,205.000,456.000,251.000,0.000,41.7503818709091519,-71.1143454911173478,O,
16.509,90.002,50.000,205.000,456.000,251.000,0.000,41.7503818671944416,-71.1142084345046470,O,
16.951,90.002,50.000,205.000,456.000,251.000,0.000,41.7503818634797241,-71.1140713778919604,O,
17.393,90.002,50.000,205.000,456.000,251.000,0.000,41.7503818597650138,-71.1139343212792738,O,
17.835,90.002,50.000,207.000,456.000,249.000,0.000,41.7503818560502964,-71.1137972646665730,O,
18.277,90.002,50.000,208.000,456.000,248.000,0.000,41.7503818523355861,-71.1136602080538864,O,
18.719,90.002,50.000,209.000,456.000,247.000,0.000,41.7503818486208687,-71.1135231514411856,O,
19.161,90.002,50.000,209.000,456.000,247.000,0.000,41.7503818449061583,-71.1133860948284990,O,
19.169,90.002,50.000,209.000,456.000,247.000,0.000,41.7503818448390547,-71.1133836190217039,O,
19.710,209.910,50.000,210.000,456.000,246.000,0.000,41.7502733069949272,-71.1134673092331298,O,
20.252,209.910,50.000,211.000,456.000,245.000,0.000,41.7501647691507998,-71.1135509994445556,O,
20.793,209.910,50.000,213.000,456.000,243.000,0.000,41.7500562313066723,-71.1136346896559814,O,
21.334,209.910,50.000,214.000,456.000,242.000,0.000,41.7499476934625449,-71.1137183798674073,O,
21.876,209.910,50.000,215.000,456.000,241.000,0.000,41.7498391556184174,-71.1138020700788331,O,
22.417,209.910,50.000,216.000,456.000,240.000,0.000,41.7497306177742900,-71.1138857602902590,O,
22.723,209.910,50.000,217.000,456.000,239.000,0.000,41.7496691997921801,-71.1139331178174814,O,
23.265,330.094,50.000,216.000,456.000,240.000,0.000,41.7497777438760025,-71.1140167999360244,O,
23.806,330.094,50.000,215.000,456.000,241.000,0.000,41.7498862879598249,-71.1141004820545675,O,
24.347,330.094,50.000,213.000,456.000,243.000,0.000,41.7499948320436474,-71.1141841641731105,O,
24.888,330.094,50.000,211.000,456.000,245.000,0.000,41.7501033761274698,-71.1142678462916535,O,
25.430,330.094,50.000,208.000,456.000,248.000,0.000,41.7502119202112922,-71.1143515284101824,O,
25.971,330.094,50.000,206.000,456.000,250.000,0.000,41.7503204642951076,-71.1144352105287254,O,
26.512,330.094,50.000,206.000,456.000,250.000,0.000,41.7504290083789300,-71.1145188926472684,O,
27.054,330.094,50.000,205.000,456.000,251.000,0.000,41.7505375524627524,-71.1146025747658115,O,
27.595,330.094,50.000,206.000,456.000,250.000,0.000,41.7506460965465749,-71.1146862568843545,O,
28.136,330.094,50.000,207.000,456.000,249.000,0.000,41.7507546406303973,-71.1147699390028976,O,
28.678,330.094,50.000,207.000,456.000,249.000,0.000,41.7508631847142198,-71.1148536211214406,O,
