time_s,heading_deg,groundspeed_kt,el_ft_msl,alt_ft_msl,alt_ft_agl,altRate_fps,lat_deg,lon_deg,AirspaceClass,AirspaceName
0.000,180.004,0.000,13.000,13.000,0.000,16.000,42.3985795194630910,-71.0044701832660792,O,
15.625,180.004,50.000,13.000,263.000,250.000,0.000,42.3985795194630910,-71.0044701832660792,O,
16.217,180.004,50.000,15.000,263.000,248.000,0.000,42.3984424628508592,-71.0044701951160846,O,
16.810,180.004,50.000,16.000,263.000,247.000,0.000,42.3983054062386344,-71.0044702069660758,O,
17.402,180.004,50.000,18.000,263.000,245.000,0.000,42.3981683496264026,-71.0044702188160812,O,
17.995,180.004,50.000,19.000,263.000,244.000,0.000,42.3980312930141707,-71.0044702306660724,O,
18.587,180.004,50.000,19.000,263.000,244.000,0.000,42.3978942364019389,-71.0044702425160779,O,
19.180,180.004,50.000,19.000,263.000,244.000,0.000,42.3977571797897141,-71.0044702543660691,O,
19.772,180.004,50.000,16.000,263.000,247.000,0.000,42.3976201231774823,-71.0044702662160745,O,
20.365,180.004,50.000,13.000,263.000,250.000,0.000,42.3974830665652505,-71.0044702780660657,O,
20.957,180.004,50.000,13.000,263.000,250.000,0.000,42.3973460099530257,-71.0044702899160711,O,
21.550,180.004,50.000,13.000,263.000,250.000,0.000,42.3972089533407939,-71.0044703017660623,O,
22.142,180.004,50.000,13.000,263.000,250.000,0.000,42.3970718967285620,-71.0044703136160678,O,
22.735,180.004,50.000,13.000,263.000,250.000,0.000,42.3969348401163373,-71.0044703254660590,O,
23.327,180.004,50.000,13.000,263.000,250.000,0.000,42.3967977835041054,-71.0044703373160644,O,
23.668,180.004,50.000,13.000,263.000,250.000,0.000,42.3967189029101590,-71.0044703441361236,O,
24.106,270.003,50.000,15.000,263.000,248.000,0.000,42.3967189082355560,-71.0046074007487675,O,
24.543,270.003,50.000,16.000,263.000,247.000,0.000,42.3967189135609601,-71.0047444573613973,O,
24.981,270.003,50.000,16.000,263.000,247.000,0.000,42.3967189188863571,-71.0048815139740412,O,
25.418,270.003,50.000,16.000,263.000,247.000,0.000,42.3967189242117612,-71.0050185705866710,O,
25.856,270.003,50.000,15.000,263.000,248.000,0.000,42.3967189295371583,-71.0051556271993149,O,
26.294,270.003,50.000,13.000,263.000,250.000,0.000,42.3967189348625624,-71.0052926838119589,O,
26.731,270.003,50.000,13.000,263.000,250.000,0.000,42.3967189401879594,-71.0054297404245887,O,
27.169,270.003,50.000,13.000,263.000,250.000,0.000,42.3967189455133635,-71.0055667970372326,O,
27.606,270.003,50.000,13.000,263.000,250.000,0.000,42.3967189508387605,-71.0057038536498766,O,
28.044,270.003,50.000,13.000,263.000,250.000,0.000,42.3967189561641646,-71.0058409102625063,O,
28.481,270.003,50.000,13.000,263.000,250.000,0.000,42.3967189614895617,-71.0059779668751503,O,
28.919,270.003,50.000,13.000,263.000,250.000,0.000,42.3967189668149658,-71.0061150234877800,O,
29.356,270.003,50.000,12.000,263.000,251.000,0.000,42.3967189721403628,-71.0062520801004240,O,
29.794,270.003,50.000,10.000,263.000,253.000,0.000,42.3967189774657598,-71.0063891367130680,O,
29.997,270.003,50.000,10.000,263.000,253.000,0.000,42.3967189799421504,-71.0064528699947743,O,
30.590,0.002,50.000,12.000,263.000,251.000,0.000,42.3968560365546878,-71.0064528624584739,O,
31.182,0.002,50.000,13.000,263.000,250.000,0.000,42.3969930931672181,-71.0064528549221592,O,
31.775,0.002,50.000,15.000,263.000,248.000,0.000,42.3971301497797555,-71.0064528473858587,O,
32.367,0.002,50.000,17.000,263.000,246.000,0.000,42.3972672063922928,-71.0064528398495582,O,
32.960,0.002,50.000,19.000,263.000,244.000,0.000,42.3974042630048231,-71.0064528323132436,O,
33.552,0.002,50.000,19.000,263.000,244.000,0.000,42.3975413196173605,-71.0064528247769431,O,
34.145,0.002,50.000,18.000,263.000,245.000,0.000,42.3976783762298908,-71.0064528172406284,O,
34.737,0.002,50.000,16.000,263.000,247.000,0.000,42.3978154328424282,-71.0064528097043279,O,
