time_s,heading_deg,groundspeed_kt,el_ft_msl,alt_ft_msl,alt_ft_agl,altRate_fps,lat_deg,lon_deg,AirspaceClass,AirspaceName
0.000,90.003,0.000,561.000,561.000,0.000,16.000,42.5019700930755420,-71.5624738719509708,O,
15.625,90.003,50.000,561.000,811.000,250.000,0.000,42.5019700930755420,-71.5624738719509708,O,
16.062,90.003,50.000,561.000,811.000,250.000,0.000,42.5019700882160265,-71.5623368153383126,O,
16.499,90.003,50.000,560.000,811.000,251.000,0.000,42.5019700833565111,-71.5621997587256544,O,
16.935,90.003,50.000,559.000,811.000,252.000,0.000,42.5019700784969885,-71.5620627021129962,O,
17.372,90.003,50.000,558.000,811.000,253.000,0.000,42.5019700736374730,-71.5619256455003523,O,
17.809,90.003,50.000,556.000,811.000,255.000,0.000,42.5019700687779576,-71.5617885888876941,O,
18.246,90.003,50.000,554.000,811.000,257.000,0.000,42.5019700639184421,-71.5616515322750359,O,
18.683,90.003,50.000,553.000,811.000,258.000,0.000,42.5019700590589196,-71.5615144756623778,O,
19.119,90.003,50.000,551.000,811.000,260.000,0.000,42.5019700541994041,-71.5613774190497196,O,
19.556,90.003,50.000,551.000,811.000,260.000,0.000,42.5019700493398886,-71.5612403624370614,O,
19.993,90.003,50.000,551.000,811.000,260.000,0.000,42.5019700444803732,-71.5611033058244175,O,
20.430,90.003,50.000,551.000,811.000,260.000,0.000,42.5019700396208577,-71.5609662492117593,O,
20.867,90.003,50.000,551.000,811.000,260.000,0.000,42.5019700347613352,-71.5608291925991011,O,
21.107,90.003,50.000,551.000,811.000,260.000,0.000,42.5019700320831149,-71.5607536566767237,O,
21.646,209.913,50.000,550.000,811.000,261.000,0.000,42.5018619816064245,-71.5608379751775630,O,
22.185,209.913,50.000,550.000,811.000,261.000,0.000,42.5017539311297341,-71.5609222936783880,O,
22.724,209.913,50.000,550.000,811.000,261.000,0.000,42.5016458806530437,-71.5610066121792272,O,
23.263,209.913,50.000,552.000,811.000,259.000,0.000,42.5015378301763462,-71.5610909306800664,O,
23.802,209.913,50.000,555.000,811.000,256.000,0.000,42.5014297796996559,-71.5611752491809057,O,
24.341,209.913,50.000,558.000,811.000,253.000,0.000,42.5013217292229655,-71.5612595676817307,O,
24.880,209.913,50.000,560.000,811.000,251.000,0.000,42.5012136787462751,-71.5613438861825699,O,
25.419,209.913,50.000,561.000,811.000,250.000,0.000,42.5011056282695847,-71.5614282046834091,O,
25.957,209.913,50.000,561.000,811.000,250.000,0.000,42.5009975777928943,-71.5615125231842342,O,
26.496,209.913,50.000,561.000,811.000,250.000,0.000,42.5008895273162040,-71.5615968416850734,O,
26.605,209.913,50.000,561.000,811.000,250.000,0.000,42.5008677502429961,-71.5616138356884477,O,
27.144,330.092,50.000,563.000,811.000,248.000,0.000,42.5009758089269454,-71.5616981436709807,O,
27.683,330.092,50.000,564.000,811.000,247.000,0.000,42.5010838676108875,-71.5617824516535279,O,
28.222,330.092,50.000,565.000,811.000,246.000,0.000,42.5011919262948368,-71.5618667596360609,O,
28.760,330.092,50.000,567.000,811.000,244.000,0.000,42.5012999849787860,-71.5619510676186081,O,
29.299,330.092,50.000,566.000,811.000,245.000,0.000,42.5014080436627353,-71.5620353756011411,O,
29.838,330.092,50.000,564.000,811.000,247.000,0.000,42.5015161023466774,-71.5621196835836884,O,
30.377,330.092,50.000,564.000,811.000,247.000,0.000,42.5016241610306267,-71.5622039915662214,O,
30.916,330.092,50.000,564.000,811.000,247.000,0.000,42.5017322197145759,-71.5622882995487686,O,
31.455,330.092,50.000,562.000,811.000,249.000,0.000,42.5018402783985252,-71.5623726075313016,O,
