time_s,heading_deg,groundspeed_kt,el_ft_msl,alt_ft_msl,alt_ft_agl,altRate_fps,lat_deg,lon_deg,AirspaceClass,AirspaceName
0.000,180.002,0.000,390.000,390.000,0.000,16.000,42.2152814921429140,-72.6968469283372798,O,
15.625,180.002,50.000,390.000,640.000,250.000,0.000,42.2152814921429140,-72.6968469283372798,O,
16.217,180.002,50.000,388.000,640.000,252.000,0.000,42.2151444355303269,-72.6968469348178559,O,
16.810,180.002,50.000,386.000,640.000,254.000,0.000,42.2150073789177398,-72.6968469412984177,O,
17.402,180.002,50.000,387.000,640.000,253.000,0.000,42.2148703223051456,-72.6968469477789938,O,
17.995,180.002,50.000,388.000,640.000,252.000,0.000,42.2147332656925585,-72.6968469542595557,O,
18.587,180.002,50.000,386.000,640.000,254.000,0.000,42.2145962090799713,-72.6968469607401317,O,
19.180,180.002,50.000,383.000,640.000,257.000,0.000,42.2144591524673842,-72.6968469672206936,O,
19.772,180.002,50.000,383.000,640.000,257.000,0.000,42.2143220958547900,-72.6968469737012697,O,
20.365,180.002,50.000,383.000,640.000,257.000,0.000,42.2141850392422029,-72.6968469801818316,O,
20.957,180.002,50.000,388.000,640.000,252.000,0.000,42.2140479826296158,-72.6968469866624076,O,
21.550,180.002,50.000,394.000,640.000,246.000,0.000,42.2139109260170287,-72.6968469931429837,O,
22.142,180.002,50.000,397.000,640.000,243.000,0.000,42.2137738694044344,-72.6968469996235456,O,
22.735,180.002,50.000,400.000,640.000,240.000,0.000,42.2136368127918473,-72.6968470061041216,O,
23.327,180.002,50.000,403.000,640.000,237.000,0.000,42.2134997561792602,-72.6968470125846835,O,
23.920,180.002,50.000,406.000,640.000,234.000,0.000,42.2133626995666731,-72.6968470190652596,O,
24.512,180.002,50.000,409.000,640.000,231.000,0.000,42.2132256429540789,-72.6968470255458215,O,
25.105,180.002,50.000,412.000,640.000,228.000,16.000,42.2130885863414917,-72.6968470320263975,O,
25.697,180.002,50.000,417.000,656.000,239.000,0.000,42.2129515297289046,-72.6968470385069594,O,
26.290,180.002,50.000,423.000,656.000,233.000,16.000,42.2128144731163175,-72.6968470449875355,O,
26.882,180.002,50.000,432.000,672.000,240.000,0.000,42.2126774165037233,-72.6968470514681115,O,
27.475,180.002,50.000,443.000,672.000,229.000,16.000,42.2125403598911362,-72.6968470579486734,O,
28.067,180.002,50.000,451.000,688.000,237.000,0.000,42.2124033032785491,-72.6968470644292495,O,
28.660,180.002,50.000,456.000,688.000,232.000,0.000,42.2122662466659619,-72.6968470709098114,O,
29.252,180.002,50.000,462.000,688.000,226.000,16.000,42.2121291900533748,-72.6968470773903874,O,
29.845,180.002,50.000,468.000,704.000,236.000,0.000,42.2119921334407806,-72.6968470838709493,O,
30.437,180.002,50.000,472.000,704.000,232.000,0.000,42.2118550768281935,-72.6968470903515254,O,
30.480,180.002,50.000,472.000,704.000,232.000,0.000,42.2118450590792591,-72.6968470908252016,O,
30.919,270.002,50.000,471.000,704.000,233.000,0.000,42.2118450617519727,-72.6969841474379166,O,
31.358,270.002,50.000,469.000,704.000,235.000,0.000,42.2118450644246863,-72.6971212040506316,O,
31.797,270.002,50.000,466.000,704.000,238.000,0.000,42.2118450670973999,-72.6972582606633466,O,
32.236,270.002,50.000,458.000,704.000,246.000,0.000,42.2118450697701206,-72.6973953172760616,O,
32.675,270.002,50.000,449.000,704.000,255.000,0.000,42.2118450724428342,-72.6975323738887766,O,
33.113,270.002,50.000,440.000,704.000,264.000,0.000,42.2118450751155478,-72.6976694305014917,O,
33.552,270.002,50.000,432.000,704.000,272.000,-16.000,42.2118450777882614,-72.6978064871142067,O,
33.991,270.002,50.000,426.000,688.000,262.000,0.000,42.2118450804609751,-72.6979435437269359,O,
34.430,270.002,50.000,420.000,688.000,268.000,0.000,42.2118450831336887,-72.6980806003396509,O,
34.869,270.002,50.000,414.000,688.000,274.000,-16.000,42.2118450858064094,-72.6982176569523659,O,
35.308,270.002,50.000,408.000,672.000,264.000,0.000,42.2118450884791230,-72.6983547135650809,O,
35.350,270.002,50.000,407.000,672.000,265.000,0.000,42.2118450887405174,-72.6983681179304568,O,
35.943,0.001,50.000,401.000,672.000,271.000,-16.000,42.2119821453532253,-72.6983681147383436,O,
36.535,0.001,50.000,394.000,656.000,262.000,0.000,42.2121192019659262,-72.6983681115462161,O,
37.128,0.001,50.000,389.000,656.000,267.000,0.000,42.2122562585786341,-72.6983681083541029,O,
37.720,0.001,50.000,389.000,656.000,267.000,0.000,42.2123933151913349,-72.6983681051619897,O,
38.313,0.001,50.000,390.000,656.000,266.000,0.000,42.2125303718040428,-72.6983681019698622,O,
38.905,0.001,50.000,393.000,656.000,263.000,0.000,42.2126674284167436,-72.6983680987777490,O,
39.498,0.001,50.000,396.000,656.000,260.000,0.000,42.2128044850294515,-72.6983680955856357,O,
40.090,0.001,50.000,396.000,656.000,260.000,0.000,42.2129415416421594,-72.6983680923935225,O,
40.683,0.001,50.000,394.000,656.000,262.000,0.000,42.2130785982548602,-72.6983680892013950,O,
41.275,0.001,50.000,387.000,656.000,269.000,-16.000,42.2132156548675681,-72.6983680860092818,O,
41.868,0.001,50.000,380.000,640.000,260.000,0.000,42.2133527114802689,-72.6983680828171686,O,
42.460,0.001,50.000,375.000,640.000,265.000,0.000,42.2134897680929768,-72.6983680796250411,O,
43.053,0.001,50.000,371.000,640.000,269.000,0.000,42.2136268247056776,-72.6983680764329279,O,
43.645,0.001,50.000,369.000,640.000,271.000,0.000,42.2137638813183855,-72.6983680732408146,O,
44.238,0.001,50.000,367.000,640.000,273.000,0.000,42.2139009379310934,-72.6983680700486872,O,
44.830,0.001,50.000,367.000,640.000,273.000,0.000,42.2140379945437942,-72.6983680668565739,O,
45.423,0.001,50.000,367.000,640.000,273.000,0.000,42.2141750511565021,-72.6983680636644607,O,
46.015,0.001,50.000,365.000,640.000,275.000,-16.000,42.2143121077692030,-72.6983680604723332,O,
46.608,0.001,50.000,364.000,624.000,260.000,0.000,42.2144491643819109,-72.6983680572802200,O,
47.200,0.001,50.000,363.000,624.000,261.000,0.000,42.2145862209946117,-72.6983680540881068,O,
47.793,0.001,50.000,361.000,624.000,263.000,0.000,42.2147232776073196,-72.6983680508959935,O,
48.385,0.001,50.000,363.000,624.000,261.000,0.000,42.2148603342200275,-72.6983680477038661,O,
48.978,0.001,50.000,365.000,624.000,259.000,0.000,42.2149973908327283,-72.6983680445117528,O,
49.570,0.001,50.000,368.000,624.000,256.000,0.000,42.2151344474454362,-72.6983680413196396,O,
