time_s,heading_deg,groundspeed_kt,el_ft_msl,alt_ft_msl,alt_ft_agl,altRate_fps,lat_deg,lon_deg,AirspaceClass,AirspaceName
0.000,353.915,0.000,167.000,167.000,0.000,16.000,42.2880512999999993,-71.2362502999999947,O,
15.625,353.915,50.000,167.000,417.000,250.000,0.000,42.2880512999999993,-71.2362502999999947,O,
16.215,353.915,50.000,170.000,417.000,247.000,0.000,42.2881869551109730,-71.2362698500885756,O,
16.464,353.915,50.000,172.000,417.000,245.000,0.000,42.2882442000000012,-71.2362781000000069,O,
16.931,354.107,50.000,174.000,417.000,243.000,0.000,42.2883516999999998,-71.2362930999999975,O,
17.304,353.004,50.000,176.000,417.000,241.000,0.000,42.2884372999999982,-71.2363073000000071,O,
17.619,353.019,50.000,178.000,417.000,239.000,0.000,42.2885097999999999,-71.2363193000000052,O,
17.859,355.250,50.000,179.000,417.000,238.000,0.000,42.2885649999999984,-71.2363255000000066,O,
18.228,358.460,50.000,180.000,417.000,237.000,0.000,42.2886503000000005,-71.2363285999999931,O,
18.756,0.208,50.000,180.000,417.000,237.000,0.000,42.2887725000000003,-71.2363280000000003,O,
19.348,1.439,50.000,180.000,417.000,237.000,0.000,42.2889094776553875,-71.2363233484389440,O,
19.941,1.439,50.000,179.000,417.000,238.000,0.000,42.2890464553107819,-71.2363186968779019,O,
20.533,1.439,50.000,177.000,417.000,240.000,0.000,42.2891834329661691,-71.2363140453168455,O,
20.946,1.439,50.000,175.000,417.000,242.000,0.000,42.2892790000000005,-71.2363107999999983,O,
21.539,1.412,50.000,172.000,417.000,245.000,0.000,42.2894159805560932,-71.2363062346578033,O,
22.131,1.412,50.000,172.000,417.000,245.000,0.000,42.2895529611121859,-71.2363016693156226,O,
22.723,1.412,50.000,172.000,417.000,245.000,0.000,42.2896899416682714,-71.2362971039734276,O,
23.316,1.412,50.000,173.000,417.000,244.000,0.000,42.2898269222243641,-71.2362925386312469,O,
23.865,1.412,50.000,174.000,417.000,243.000,0.000,42.2899541000000028,-71.2362882999999982,O,
24.458,1.311,50.000,173.000,417.000,244.000,0.000,42.2900910910629051,-71.2362840616298598,O,
25.050,1.311,50.000,172.000,417.000,245.000,0.000,42.2902280821258074,-71.2362798232597214,O,
25.643,1.311,50.000,172.000,417.000,245.000,0.000,42.2903650731887097,-71.2362755848895830,O,
26.235,1.311,50.000,172.000,417.000,245.000,0.000,42.2905020642516121,-71.2362713465194446,O,
26.827,1.311,50.000,174.000,417.000,243.000,0.000,42.2906390553145073,-71.2362671081493062,O,
27.420,1.311,50.000,177.000,417.000,240.000,0.000,42.2907760463774096,-71.2362628697791678,O,
28.012,1.311,50.000,180.000,417.000,237.000,0.000,42.2909130374403119,-71.2362586314090294,O,
28.604,1.311,50.000,183.000,417.000,234.000,0.000,42.2910500285032143,-71.2362543930388910,O,
29.197,1.311,50.000,186.000,417.000,231.000,0.000,42.2911870195661166,-71.2362501546687525,O,
29.789,1.311,50.000,189.000,417.000,228.000,0.000,42.2913240106290189,-71.2362459162986141,O,
30.381,1.311,50.000,189.000,417.000,228.000,0.000,42.2914610016919212,-71.2362416779284757,O,
30.974,1.311,50.000,188.000,417.000,229.000,0.000,42.2915979927548236,-71.2362374395583373,O,
31.566,1.311,50.000,186.000,417.000,231.000,0.000,42.2917349838177188,-71.2362332011881989,O,
32.158,1.311,50.000,185.000,417.000,232.000,0.000,42.2918719748806211,-71.2362289628180605,O,
32.751,1.311,50.000,183.000,417.000,234.000,0.000,42.2920089659435234,-71.2362247244479221,O,
33.343,1.311,50.000,180.000,417.000,237.000,0.000,42.2921459570064258,-71.2362204860777837,O,
33.425,1.311,50.000,180.000,417.000,237.000,0.000,42.2921649000000031,-71.2362198999999947,O,
33.864,3.423,50.000,179.000,417.000,238.000,0.000,42.2922663000000014,-71.2362116999999984,O,
34.061,6.429,50.000,179.000,417.000,238.000,0.000,42.2923115999999979,-71.2362047999999959,O,
34.242,8.957,50.000,179.000,417.000,238.000,0.000,42.2923528999999974,-71.2361960000000067,O,
34.725,9.031,50.000,180.000,417.000,237.000,0.000,42.2924632000000003,-71.2361723000000069,O,
35.216,8.762,50.000,180.000,417.000,237.000,0.000,42.2925754999999981,-71.2361489000000034,O,
35.465,9.012,50.000,180.000,417.000,237.000,0.000,42.2926324000000022,-71.2361367000000030,O,
35.690,8.189,50.000,180.000,417.000,237.000,0.000,42.2926837999999989,-71.2361266999999998,O,
36.177,3.840,50.000,181.000,417.000,236.000,-16.000,42.2927961999999980,-71.2361164999999943,O,
50.927,3.840,0.000,181.000,181.000,0.000,0.000,42.2927961999999980,-71.2361164999999943,O,
